ID,Nome,Idade,Setor,Cidade,CPF,RG,Formacao,Tempo_Empresa_Meses,Data_Aniversario,Funcao_Atual,Data_Admissao,Status
633,Funcionário 633,53,Marketing,Fortaleza,385.977.790-47,8655554-5,Pós-graduação,29,1971-05-21,Gerente de Marketing,2022-07-06,Ativo
634,Funcionário 634,28,Gente & Gestão,Recife,469.263.296-80,2602797-6,Tecnólogo,5,1996-07-22,Especialista em Folha,2024-07-26,Ativo
635,Funcionário 635,35,Vendas,Porto Alegre,032.484.137-00,2284021-1,Tecnólogo,8,1989-09-04,Vendedor,2024-04-22,Ativo
636,Funcionário 636,39,Gente & Gestão,Florianópolis,856.724.380-75,8749462-6,Doutorado,4,1985-01-03,Recrutador,2024-08-04,Ativo
637,Funcionário 637,58,Marketing,São Paulo,563.600.412-51,8740286-1,Graduação,13,1966-11-24,Gerente de Marketing,2023-11-01,Ativo
638,Funcionário 638,46,Gente & Gestão,Natal,183.727.422-35,3082914-8,Pós-graduação,34,1978-10-04,Analista de RH,2022-02-06,Ativo
639,Funcionário 639,54,Comercial,Porto Alegre,621.042.752-96,9930492-3,Pós-graduação,21,1970-12-02,Gerente Comercial,2023-03-20,Ativo
640,Funcionário 640,28,Operações,Rio de Janeiro,708.164.709-01,4384602-3,Ensino Médio,35,1996-01-25,Analista de Operações,2022-01-10,Ativo
641,Funcionário 641,45,Comercial,Manaus,533.106.005-64,2620732-2,Tecnólogo,23,1979-11-22,Gerente Comercial,2023-01-29,Desligado
642,Funcionário 642,43,Tecnologia,São Paulo,206.815.583-42,3026754-3,Tecnólogo,21,1981-09-13,Analista de Sistemas,2023-03-01,Ativo
643,Funcionário 643,27,Comercial,São Paulo,315.520.650-06,5671743-9,Tecnólogo,9,1997-04-15,Vendedor,2024-03-08,Ativo
644,Funcionário 644,26,Comercial,Belo Horizonte,501.364.971-44,7519046-2,Ensino Médio,24,1998-05-04,Executivo de Contas,2022-12-18,Ativo
645,Funcionário 645,31,Comercial,Natal,525.715.099-93,4899452-8,Graduação,5,1993-07-17,Vendedor,2024-07-08,Ativo
646,Funcionário 646,43,Qualidade,Brasília,903.091.436-08,7283463-7,Doutorado,19,1981-10-03,Coordenador de Qualidade,2023-05-14,Desligado
647,Funcionário 647,31,Suporte,Natal,432.630.397-25,1664503-8,Graduação,13,1993-03-09,Coordenador de Suporte,2023-11-05,Ativo
648,Funcionário 648,53,Inovação,Porto Alegre,640.355.338-07,4731991-9,Pós-graduação,32,1971-11-08,Product Manager,2022-04-21,Ativo
649,Funcionário 649,25,Financeiro,Belo Horizonte,685.270.171-99,4426243-2,Doutorado,23,1999-01-21,Gerente Financeiro,2023-01-30,Ativo
650,Funcionário 650,42,Operações,Joinville,129.833.816-68,5109158-6,Pós-graduação,4,1982-05-06,Coordenador Operacional,2024-08-14,Ativo
651,Funcionário 651,48,Vendas,Brasília,293.449.734-82,3814647-7,Tecnólogo,3,1976-02-12,Gerente de Vendas,2024-09-12,Ativo
652,Funcionário 652,23,Vendas,Brasília,768.962.706-40,6037049-9,Mestrado,7,2001-02-25,Coordenador de Vendas,2024-05-25,Ativo
653,Funcionário 653,29,Qualidade,São Paulo,828.246.747-25,2206947-5,Tecnólogo,16,1995-07-18,Auditor,2023-08-04,Ativo
654,Funcionário 654,27,Inovação,Joinville,273.230.085-30,7260332-6,Doutorado,2,1997-07-14,Analista de Inovação,2024-10-03,Ativo
655,Funcionário 655,40,Gente & Gestão,Florianópolis,749.160.169-39,5282525-5,Graduação,25,1984-04-25,Especialista em Folha,2022-11-29,Ativo
656,Funcionário 656,33,Atendimento,Brasília,875.066.337-28,1474058-2,Pós-graduação,33,1991-06-21,Atendente,2022-03-12,Ativo
657,Funcionário 657,57,Gente & Gestão,Porto Alegre,497.243.992-06,7448284-6,Doutorado,35,1967-02-25,Analista de RH,2022-01-26,Desligado
658,Funcionário 658,36,Marketing,Curitiba,918.362.644-10,6167027-6,Tecnólogo,2,1988-09-22,Especialista em SEO,2024-10-22,Ativo
659,Funcionário 659,33,Comercial,Rio de Janeiro,119.524.364-27,2625220-1,Graduação,35,1991-03-27,Vendedor,2022-01-14,Ativo
660,Funcionário 660,24,Produto,Curitiba,686.462.252-59,2849490-7,Graduação,26,2000-04-16,Product Owner,2022-10-03,Ativo
661,Funcionário 661,54,Qualidade,São Paulo,932.302.346-93,3787134-1,Doutorado,6,1970-11-20,Analista de Qualidade,2024-06-21,Desligado
662,Funcionário 662,53,Qualidade,Natal,416.141.509-58,2691296-0,Graduação,20,1971-08-16,Analista de Qualidade,2023-04-26,Ativo
663,Funcionário 663,25,Operações,Goiânia,040.901.380-35,5459984-7,Mestrado,10,1999-10-17,Supervisor,2024-02-09,Ativo
664,Funcionário 664,53,Vendas,Manaus,759.655.553-50,1960353-5,Graduação,11,1971-11-13,Gerente de Vendas,2024-01-10,Ativo
665,Funcionário 665,37,Tecnologia,Vitória,510.762.091-49,5169769-5,MBA,0,1987-05-23,QA Engineer,2024-12-22,Ativo
666,Funcionário 666,42,Comercial,Joinville,797.863.050-19,8454220-3,Pós-graduação,11,1982-01-26,Executivo de Contas,2024-01-08,Ativo
667,Funcionário 667,52,Produto,Rio de Janeiro,976.915.671-03,3401850-8,Graduação,10,1972-05-20,Product Manager,2024-02-28,Ativo
668,Funcionário 668,46,Suporte,São Paulo,980.271.487-90,5041658-3,Pós-graduação,24,1978-08-04,Analista de Suporte,2022-12-11,Ativo
669,Funcionário 669,41,Comercial,Recife,321.160.256-99,8991026-1,Mestrado,17,1983-04-24,Executivo de Contas,2023-07-29,Ativo
670,Funcionário 670,26,Suporte,Belém,287.153.991-09,7403032-8,Pós-graduação,12,1998-07-23,Analista de Suporte,2023-12-04,Ativo
671,Funcionário 671,30,Financeiro,Belo Horizonte,633.414.111-27,2947939-9,Tecnólogo,13,1994-12-19,Contador,2023-11-28,Ativo
672,Funcionário 672,40,Qualidade,Manaus,525.690.409-40,7124083-2,Ensino Médio,23,1984-07-14,Auditor,2023-01-24,Ativo
673,Funcionário 673,23,Qualidade,Manaus,899.316.087-22,4672603-7,Ensino Médio,14,2001-03-27,Analista de Qualidade,2023-10-10,Ativo
674,Funcionário 674,45,Comercial,Belo Horizonte,729.420.954-58,9024252-3,Graduação,2,1979-12-04,Analista Comercial,2024-10-25,Ativo
675,Funcionário 675,49,Atendimento,Natal,746.052.330-59,3670819-0,MBA,23,1975-08-24,Analista de Atendimento,2023-01-02,Ativo
676,Funcionário 676,54,Gente & Gestão,Florianópolis,865.675.661-32,4273103-8,Pós-graduação,0,1970-12-10,Recrutador,2024-12-17,Ativo
677,Funcionário 677,39,Atendimento,Fortaleza,612.590.472-53,3429724-3,Ensino Médio,26,1985-08-23,Supervisor de Atendimento,2022-10-09,Ativo
678,Funcionário 678,43,Tecnologia,Porto Alegre,330.591.266-90,8950315-2,Pós-graduação,24,1981-01-04,Tech Lead,2022-12-11,Ativo
679,Funcionário 679,51,Produto,Florianópolis,018.596.263-78,6078288-9,Ensino Médio,33,1973-02-08,Product Manager,2022-03-11,Ativo
680,Funcionário 680,37,Comercial,Curitiba,261.764.750-15,9552160-3,Graduação,27,1987-02-03,Analista Comercial,2022-09-03,Desligado
681,Funcionário 681,49,Inovação,Belo Horizonte,099.974.192-60,6005706-9,Ensino Médio,10,1975-08-21,Analista de Inovação,2024-02-26,Ativo
682,Funcionário 682,29,Inovação,Rio de Janeiro,215.182.606-67,3081873-3,Doutorado,0,1995-08-03,Innovation Lead,2024-12-21,Ativo
683,Funcionário 683,25,Atendimento,Salvador,129.208.751-08,3704659-1,Doutorado,33,1999-03-19,Analista de Atendimento,2022-03-22,Ativo
684,Funcionário 684,36,Gente & Gestão,Florianópolis,840.118.458-41,6043230-0,Ensino Médio,24,1988-07-22,Analista de RH,2022-12-18,Desligado
685,Funcionário 685,35,Financeiro,Manaus,848.729.758-71,2661097-0,Ensino Médio,12,1989-10-18,Controller,2023-12-23,Ativo
686,Funcionário 686,30,Suporte,Manaus,303.243.298-73,8080237-1,MBA,21,1994-10-12,Coordenador de Suporte,2023-03-19,Ativo
687,Funcionário 687,39,Suporte,São Paulo,844.626.714-49,2183767-4,Mestrado,7,1985-12-05,Coordenador de Suporte,2024-05-21,Ativo
688,Funcionário 688,48,Inovação,Fortaleza,359.892.625-15,5152322-1,Graduação,6,1976-07-01,Product Manager,2024-06-07,Ativo
689,Funcionário 689,59,Financeiro,Porto Alegre,418.186.151-18,4787716-4,Mestrado,11,1965-06-25,Controller,2024-01-14,Ativo
690,Funcionário 690,40,Produto,Joinville,016.361.128-97,2602904-8,Ensino Médio,15,1984-10-27,Product Manager,2023-09-20,Ativo
691,Funcionário 691,45,Atendimento,Belo Horizonte,594.849.102-11,9920146-8,Doutorado,14,1979-07-06,Analista de Atendimento,2023-10-14,Ativo
692,Funcionário 692,40,Suporte,Florianópolis,967.924.082-71,5485722-0,Tecnólogo,27,1984-03-13,Coordenador de Suporte,2022-09-16,Ativo
693,Funcionário 693,30,Qualidade,Joinville,539.672.757-87,9734129-3,MBA,2,1994-05-09,Auditor,2024-10-25,Ativo
694,Funcionário 694,35,Vendas,Fortaleza,414.651.113-52,5795781-8,Pós-graduação,29,1989-03-19,Coordenador de Vendas,2022-07-11,Desligado
695,Funcionário 695,40,Financeiro,Goiânia,706.827.788-85,1122310-6,Mestrado,27,1984-07-01,Analista Financeiro,2022-09-13,Ativo
696,Funcionário 696,57,Marketing,São Paulo,853.890.972-03,3236718-8,Mestrado,0,1967-04-06,Analista de Marketing,2024-12-08,Desligado
697,Funcionário 697,54,Marketing,Joinville,506.762.515-52,2977453-4,Ensino Médio,19,1970-09-28,Especialista em SEO,2023-05-27,Ativo
698,Funcionário 698,32,Gente & Gestão,Florianópolis,474.430.963-13,1594402-7,Ensino Médio,15,1992-11-17,Gerente de RH,2023-09-17,Ativo
699,Funcionário 699,35,Vendas,Joinville,970.509.754-27,4123208-6,Graduação,12,1989-02-01,Gerente de Vendas,2023-12-26,Ativo
700,Funcionário 700,43,Vendas,Brasília,501.673.188-88,1115938-2,Doutorado,25,1981-07-04,Coordenador de Vendas,2022-11-11,Ativo
701,Funcionário 701,37,Tecnologia,Natal,437.654.562-76,8371182-2,Mestrado,17,1987-02-15,DevOps,2023-07-06,Ativo
702,Funcionário 702,56,Produto,Natal,256.053.134-87,6556840-0,Mestrado,33,1968-03-13,Product Owner,2022-03-24,Ativo
703,Funcionário 703,42,Gente & Gestão,Porto Alegre,237.416.787-91,7708806-8,Pós-graduação,27,1982-06-25,Analista de RH,2022-09-18,Ativo
704,Funcionário 704,24,Qualidade,São Paulo,621.102.258-15,6740173-6,MBA,35,2000-11-08,Analista de Qualidade,2022-01-28,Desligado
705,Funcionário 705,30,Vendas,Joinville,906.744.716-10,4134994-3,Graduação,19,1994-10-05,Vendedor,2023-05-23,Ativo
706,Funcionário 706,55,Marketing,Natal,414.363.718-99,3495209-3,Ensino Médio,23,1969-04-28,Analista de Marketing,2023-01-07,Ativo
707,Funcionário 707,44,Marketing,Manaus,126.043.260-27,7833312-8,Mestrado,22,1980-02-28,Especialista em SEO,2023-02-13,Desligado
708,Funcionário 708,36,Vendas,Florianópolis,433.567.086-94,5706947-5,Tecnólogo,32,1988-05-04,Vendedor,2022-04-16,Ativo
709,Funcionário 709,43,Marketing,Porto Alegre,635.020.005-57,2690500-6,Graduação,21,1981-05-16,Especialista em SEO,2023-03-11,Ativo
710,Funcionário 710,41,Vendas,Belém,247.554.110-50,7063033-9,Graduação,27,1983-06-12,Coordenador de Vendas,2022-09-24,Ativo
711,Funcionário 711,28,Qualidade,Manaus,895.343.961-25,3019210-0,Pós-graduação,28,1996-03-21,Coordenador de Qualidade,2022-08-06,Ativo
712,Funcionário 712,33,Suporte,Belo Horizonte,933.711.895-54,4388982-8,Pós-graduação,15,1991-12-16,Técnico de Suporte,2023-09-10,Ativo
713,Funcionário 713,45,Comercial,Fortaleza,202.368.485-42,8316976-1,Doutorado,11,1979-08-21,Vendedor,2024-01-20,Ativo
714,Funcionário 714,22,Marketing,Rio de Janeiro,768.802.942-27,4190874-6,Mestrado,16,2002-01-19,Especialista em SEO,2023-08-17,Desligado
715,Funcionário 715,43,Vendas,Curitiba,788.127.868-47,4088120-0,Ensino Médio,9,1981-07-20,Vendedor,2024-03-10,Ativo
716,Funcionário 716,33,Operações,Recife,293.908.788-10,5504928-8,Graduação,18,1991-05-28,Gerente de Operações,2023-06-15,Ativo
717,Funcionário 717,40,Qualidade,Recife,123.083.402-82,1864361-3,Ensino Médio,17,1984-03-09,Analista de Qualidade,2023-07-23,Ativo
718,Funcionário 718,50,Tecnologia,Florianópolis,381.059.551-99,5947522-5,Mestrado,18,1974-12-05,Tech Lead,2023-06-25,Ativo
719,Funcionário 719,41,Marketing,São Paulo,005.342.408-52,5317535-9,MBA,28,1983-12-24,Analista de Marketing,2022-08-06,Ativo
720,Funcionário 720,59,Tecnologia,Goiânia,837.354.396-16,8279693-5,Ensino Médio,25,1965-08-08,Analista de Sistemas,2022-11-15,Ativo
721,Funcionário 721,29,Produto,Joinville,271.727.223-29,1353115-4,Pós-graduação,2,1995-12-06,Product Manager,2024-10-01,Ativo
722,Funcionário 722,47,Inovação,Porto Alegre,226.931.216-39,2681644-8,MBA,19,1977-08-21,Analista de Inovação,2023-05-18,Ativo
723,Funcionário 723,30,Marketing,Porto Alegre,209.166.010-80,5490530-2,Ensino Médio,33,1994-03-08,Analista de Marketing,2022-03-31,Ativo
724,Funcionário 724,38,Marketing,Porto Alegre,900.185.132-04,6157064-5,Graduação,3,1986-10-15,Gerente de Marketing,2024-09-10,Ativo
725,Funcionário 725,34,Produto,Goiânia,723.084.810-56,9582257-6,Graduação,32,1990-02-18,Analista de Produto,2022-04-02,Ativo
726,Funcionário 726,34,Tecnologia,Brasília,203.036.625-06,2885904-7,Pós-graduação,16,1990-04-22,Tech Lead,2023-08-11,Ativo
727,Funcionário 727,33,Marketing,Brasília,213.145.195-49,3535087-2,MBA,28,1991-06-03,Analista de Marketing,2022-08-31,Ativo
728,Funcionário 728,33,Tecnologia,Belém,685.926.249-40,9376038-5,Tecnólogo,16,1991-06-04,DevOps,2023-08-11,Ativo
729,Funcionário 729,26,Marketing,Salvador,410.225.267-31,5672054-2,Graduação,3,1998-02-04,Especialista em SEO,2024-09-06,Ativo
730,Funcionário 730,44,Inovação,São Paulo,152.265.576-04,6594616-2,Doutorado,3,1980-12-14,Product Manager,2024-09-12,Ativo
731,Funcionário 731,39,Comercial,Joinville,366.878.878-23,8077313-8,Mestrado,20,1985-07-03,Vendedor,2023-04-17,Ativo
732,Funcionário 732,57,Comercial,Porto Alegre,931.350.305-04,6861079-5,Graduação,4,1967-03-04,Gerente Comercial,2024-08-28,Desligado
733,Funcionário 733,49,Marketing,Joinville,247.286.333-06,3400426-6,Ensino Médio,32,1975-12-05,Analista de Marketing,2022-04-25,Desligado
734,Funcionário 734,33,Atendimento,Florianópolis,065.019.179-05,2325287-3,Doutorado,25,1991-01-05,Atendente,2022-11-20,Ativo
735,Funcionário 735,23,Vendas,Recife,109.622.728-25,8448641-0,Tecnólogo,15,2001-08-14,Coordenador de Vendas,2023-09-06,Ativo
736,Funcionário 736,32,Atendimento,Goiânia,412.009.282-88,8621830-8,Tecnólogo,35,1992-07-27,Supervisor de Atendimento,2022-01-23,Ativo
737,Funcionário 737,30,Vendas,Rio de Janeiro,498.436.241-30,7717637-9,Pós-graduação,0,1994-07-05,Coordenador de Vendas,2024-12-04,Ativo
738,Funcionário 738,41,Operações,Fortaleza,036.289.177-00,7383228-2,MBA,14,1983-11-21,Coordenador Operacional,2023-10-04,Ativo
739,Funcionário 739,50,Operações,Florianópolis,056.341.115-52,2786178-1,Mestrado,13,1974-01-08,Gerente de Operações,2023-11-19,Ativo
740,Funcionário 740,23,Tecnologia,Salvador,390.438.303-56,9116934-0,Mestrado,17,2001-02-19,DevOps,2023-07-06,Ativo
741,Funcionário 741,56,Produto,São Paulo,051.405.468-92,6969959-2,Doutorado,22,1968-06-25,Product Manager,2023-02-04,Ativo
742,Funcionário 742,36,Atendimento,Porto Alegre,156.818.209-04,1627606-4,MBA,10,1988-08-19,Analista de Atendimento,2024-02-22,Ativo
743,Funcionário 743,52,Vendas,Rio de Janeiro,227.113.322-09,9779300-5,Ensino Médio,2,1972-09-24,Gerente de Vendas,2024-10-24,Ativo
744,Funcionário 744,49,Gente & Gestão,Belo Horizonte,725.459.606-83,3556871-9,Graduação,19,1975-04-20,Recrutador,2023-05-05,Ativo
745,Funcionário 745,57,Suporte,Belém,710.248.171-30,3709058-1,Doutorado,5,1967-06-06,Analista de Suporte,2024-07-20,Ativo
746,Funcionário 746,59,Atendimento,Goiânia,495.511.274-98,3356313-1,Pós-graduação,4,1965-05-25,Analista de Atendimento,2024-08-27,Ativo
747,Funcionário 747,53,Suporte,Florianópolis,970.546.692-07,6262096-5,Pós-graduação,6,1971-06-17,Coordenador de Suporte,2024-06-21,Ativo
748,Funcionário 748,44,Marketing,Fortaleza,168.740.903-05,7305241-2,Tecnólogo,35,1980-03-28,Gerente de Marketing,2022-01-17,Desligado
749,Funcionário 749,57,Qualidade,São Paulo,961.367.157-91,8798939-1,Doutorado,4,1967-11-18,Coordenador de Qualidade,2024-08-17,Ativo
750,Funcionário 750,49,Gente & Gestão,Rio de Janeiro,121.663.651-67,8989636-1,Pós-graduação,14,1975-06-20,Analista de RH,2023-10-12,Ativo
751,Funcionário 751,22,Tecnologia,Vitória,470.827.235-98,7064842-6,Pós-graduação,33,2002-10-25,Tech Lead,2022-03-06,Ativo
752,Funcionário 752,50,Atendimento,Manaus,730.306.442-78,2370851-4,Tecnólogo,30,1974-03-03,Supervisor de Atendimento,2022-06-21,Ativo
753,Funcionário 753,52,Produto,Goiânia,768.342.016-61,8031349-7,Graduação,12,1972-05-06,Product Manager,2023-12-02,Ativo
754,Funcionário 754,59,Gente & Gestão,Brasília,782.659.608-40,3426274-5,Tecnólogo,22,1965-02-24,Especialista em Folha,2023-02-11,Ativo
755,Funcionário 755,33,Operações,São Paulo,502.727.516-18,8559125-2,Doutorado,18,1991-09-24,Gerente de Operações,2023-06-23,Desligado
756,Funcionário 756,26,Marketing,Brasília,791.033.682-97,4207115-9,Graduação,10,1998-04-12,Gerente de Marketing,2024-02-13,Ativo
757,Funcionário 757,32,Financeiro,Recife,055.044.817-91,8144563-8,Graduação,5,1992-07-14,Contador,2024-07-22,Ativo
758,Funcionário 758,48,Atendimento,Florianópolis,512.765.289-73,8339925-4,Tecnólogo,25,1976-09-14,Analista de Atendimento,2022-11-30,Ativo
759,Funcionário 759,36,Gente & Gestão,Goiânia,911.110.961-04,2672723-7,Tecnólogo,2,1988-12-25,Analista de RH,2024-10-13,Ativo
760,Funcionário 760,58,Atendimento,Manaus,890.463.378-80,3087766-5,MBA,10,1966-02-07,Supervisor de Atendimento,2024-02-20,Ativo
761,Funcionário 761,44,Operações,Joinville,766.053.844-66,7957788-3,Tecnólogo,18,1980-05-27,Gerente de Operações,2023-06-26,Ativo
762,Funcionário 762,30,Tecnologia,Belém,060.002.589-68,8214533-3,MBA,14,1994-06-06,Tech Lead,2023-10-13,Ativo
763,Funcionário 763,38,Operações,Joinville,863.960.962-42,6337250-8,MBA,9,1986-12-06,Analista de Operações,2024-03-10,Ativo
764,Funcionário 764,34,Comercial,Belém,263.128.196-98,4418568-1,Mestrado,18,1990-09-06,Vendedor,2023-06-17,Ativo
765,Funcionário 765,44,Suporte,Florianópolis,106.092.098-09,3190232-7,Tecnólogo,30,1980-10-13,Técnico de Suporte,2022-06-11,Desligado
766,Funcionário 766,53,Suporte,Recife,523.343.836-43,3412052-0,Ensino Médio,18,1971-11-02,Analista de Suporte,2023-06-18,Ativo
767,Funcionário 767,42,Qualidade,Fortaleza,911.791.124-90,7063240-3,Doutorado,18,1982-03-03,Auditor,2023-06-21,Desligado
768,Funcionário 768,22,Qualidade,Vitória,617.061.713-66,8564486-2,MBA,7,2002-07-11,Auditor,2024-05-09,Ativo
769,Funcionário 769,34,Comercial,Fortaleza,240.299.015-57,1084130-2,Pós-graduação,12,1990-08-20,Gerente Comercial,2023-12-12,Ativo
770,Funcionário 770,38,Suporte,Manaus,841.390.808-68,2925830-3,Tecnólogo,1,1986-03-07,Técnico de Suporte,2024-11-14,Ativo
771,Funcionário 771,45,Atendimento,Florianópolis,052.312.447-32,5937884-7,MBA,22,1979-02-12,Supervisor de Atendimento,2023-02-13,Ativo
772,Funcionário 772,42,Marketing,Manaus,768.634.234-48,6227531-2,MBA,9,1982-02-19,Analista de Marketing,2024-03-15,Ativo
773,Funcionário 773,58,Financeiro,Belo Horizonte,376.769.459-09,6920939-5,Graduação,28,1966-10-13,Controller,2022-08-09,Ativo
774,Funcionário 774,48,Gente & Gestão,Curitiba,172.084.964-12,4018292-5,Graduação,0,1976-06-13,Recrutador,2024-12-22,Desligado
775,Funcionário 775,33,Operações,Porto Alegre,625.313.552-00,1182888-5,Mestrado,14,1991-02-01,Supervisor,2023-10-06,Ativo
776,Funcionário 776,49,Gente & Gestão,São Paulo,379.538.164-90,5664879-9,Pós-graduação,21,1975-09-07,Analista de RH,2023-03-11,Desligado
777,Funcionário 777,33,Operações,São Paulo,196.655.330-70,8067188-1,Graduação,2,1991-08-02,Supervisor,2024-10-08,Ativo
778,Funcionário 778,47,Qualidade,Manaus,172.959.639-87,1077963-7,Pós-graduação,34,1977-05-01,Coordenador de Qualidade,2022-02-13,Ativo
779,Funcionário 779,57,Operações,Fortaleza,426.088.050-00,7963867-4,Ensino Médio,31,1967-08-04,Coordenador Operacional,2022-05-23,Ativo
780,Funcionário 780,45,Inovação,Vitória,455.618.579-32,8626616-7,Graduação,32,1979-07-10,Innovation Lead,2022-04-07,Ativo
781,Funcionário 781,38,Suporte,Porto Alegre,159.103.002-10,8309538-3,Mestrado,28,1986-06-28,Coordenador de Suporte,2022-08-04,Ativo
782,Funcionário 782,39,Qualidade,Florianópolis,213.580.040-64,6525223-9,Doutorado,28,1985-01-10,Auditor,2022-08-15,Desligado
783,Funcionário 783,25,Inovação,Belém,642.297.125-70,7933921-7,Graduação,26,1999-10-28,Innovation Lead,2022-10-31,Ativo
784,Funcionário 784,30,Marketing,Joinville,188.397.745-21,5969984-1,MBA,3,1994-04-03,Analista de Marketing,2024-09-15,Ativo
785,Funcionário 785,38,Tecnologia,São Paulo,583.311.703-85,7460238-3,Graduação,35,1986-11-07,Analista de Sistemas,2022-01-27,Ativo
786,Funcionário 786,24,Produto,Porto Alegre,715.398.854-88,2772688-2,MBA,5,2000-11-05,Analista de Produto,2024-07-18,Ativo
787,Funcionário 787,52,Inovação,Natal,356.798.363-60,6153067-9,Tecnólogo,31,1972-05-14,Product Manager,2022-05-21,Ativo
788,Funcionário 788,50,Operações,Fortaleza,127.113.072-63,8594054-5,Graduação,17,1974-01-16,Coordenador Operacional,2023-07-01,Ativo
789,Funcionário 789,31,Atendimento,Natal,418.156.326-07,8404466-4,Mestrado,2,1993-07-17,Atendente,2024-10-25,Ativo
790,Funcionário 790,37,Qualidade,Curitiba,510.663.436-91,9281506-8,Ensino Médio,24,1987-10-09,Auditor,2022-12-28,Ativo
791,Funcionário 791,51,Vendas,Goiânia,610.313.100-61,5621443-3,Doutorado,18,1973-04-03,Coordenador de Vendas,2023-06-30,Ativo
792,Funcionário 792,40,Comercial,Brasília,966.613.473-09,5831479-0,Tecnólogo,24,1984-04-12,Vendedor,2022-12-17,Ativo
793,Funcionário 793,28,Inovação,Florianópolis,128.974.325-86,8637262-2,Ensino Médio,31,1996-03-06,Analista de Inovação,2022-05-23,Ativo
794,Funcionário 794,58,Tecnologia,Vitória,076.502.412-89,1016885-7,MBA,35,1966-10-12,QA Engineer,2022-01-20,Ativo
795,Funcionário 795,29,Gente & Gestão,Manaus,371.009.438-09,2575550-1,Ensino Médio,2,1995-03-25,Gerente de RH,2024-10-27,Desligado
796,Funcionário 796,22,Financeiro,Florianópolis,457.758.474-31,6052190-5,Tecnólogo,11,2002-08-01,Controller,2024-01-17,Ativo
797,Funcionário 797,44,Vendas,Curitiba,897.148.026-28,1518494-3,Mestrado,21,1980-11-05,Gerente de Vendas,2023-03-28,Ativo
798,Funcionário 798,25,Operações,Fortaleza,965.313.614-33,6852648-5,Graduação,5,1999-09-06,Gerente de Operações,2024-07-09,Ativo
799,Funcionário 799,24,Qualidade,Belém,696.443.098-98,8634097-9,MBA,12,2000-10-04,Coordenador de Qualidade,2023-12-05,Ativo
800,Funcionário 800,40,Produto,Belo Horizonte,541.072.728-26,6094327-7,Tecnólogo,16,1984-10-18,Product Manager,2023-08-17,Ativo
801,Funcionário 801,55,Atendimento,Manaus,414.070.349-01,8219619-5,Mestrado,27,1969-01-16,Analista de Atendimento,2022-09-10,Ativo
802,Funcionário 802,23,Atendimento,Belém,004.254.882-92,4300538-6,Doutorado,30,2001-12-09,Supervisor de Atendimento,2022-06-26,Desligado
803,Funcionário 803,55,Inovação,Florianópolis,914.307.536-33,6067099-9,Doutorado,7,1969-07-04,Product Manager,2024-05-15,Ativo
804,Funcionário 804,48,Operações,Belém,429.659.234-38,6116985-1,Doutorado,26,1976-07-18,Analista de Operações,2022-10-05,Ativo
805,Funcionário 805,22,Tecnologia,Salvador,497.826.612-28,6998844-7,Mestrado,0,2002-08-23,QA Engineer,2024-12-14,Ativo
806,Funcionário 806,34,Gente & Gestão,Florianópolis,567.667.080-00,6073262-3,MBA,7,1990-02-25,Gerente de RH,2024-05-12,Desligado
807,Funcionário 807,46,Operações,Vitória,985.298.940-57,8764626-8,Ensino Médio,9,1978-03-13,Supervisor,2024-03-15,Ativo
808,Funcionário 808,44,Atendimento,Recife,701.041.591-97,2021141-1,Pós-graduação,16,1980-10-16,Analista de Atendimento,2023-08-19,Ativo
809,Funcionário 809,41,Comercial,Goiânia,980.382.872-07,6048133-4,Tecnólogo,20,1983-11-21,Analista Comercial,2023-04-03,Ativo
810,Funcionário 810,45,Operações,Goiânia,079.311.029-75,2738237-7,Doutorado,27,1979-09-04,Gerente de Operações,2022-09-05,Ativo
811,Funcionário 811,34,Produto,Rio de Janeiro,087.601.467-88,5366631-9,Tecnólogo,23,1990-04-27,Analista de Produto,2023-01-12,Ativo
812,Funcionário 812,52,Comercial,Curitiba,791.620.223-93,4361332-7,Tecnólogo,24,1972-09-24,Gerente Comercial,2022-12-16,Ativo
813,Funcionário 813,32,Vendas,Manaus,744.197.546-80,7994362-6,Ensino Médio,9,1992-12-26,Coordenador de Vendas,2024-03-01,Desligado
814,Funcionário 814,52,Tecnologia,Recife,204.719.609-42,8457126-0,MBA,15,1972-01-21,Arquiteto,2023-09-13,Ativo
815,Funcionário 815,39,Operações,Belo Horizonte,527.740.258-69,9808972-6,Ensino Médio,2,1985-04-12,Supervisor,2024-10-27,Ativo
816,Funcionário 816,45,Comercial,Brasília,812.259.572-30,2144375-7,Ensino Médio,17,1979-11-10,Executivo de Contas,2023-07-25,Ativo
817,Funcionário 817,26,Qualidade,Salvador,679.298.842-10,7774201-1,MBA,14,1998-10-19,Auditor,2023-10-26,Ativo
818,Funcionário 818,22,Produto,Florianópolis,002.311.775-34,3919201-6,Ensino Médio,20,2002-12-26,Analista de Produto,2023-04-20,Ativo
819,Funcionário 819,55,Qualidade,Joinville,610.941.017-96,3920363-5,Pós-graduação,10,1969-10-21,Coordenador de Qualidade,2024-02-06,Ativo
820,Funcionário 820,36,Suporte,Belém,176.298.334-66,4375454-2,Graduação,2,1988-08-22,Analista de Suporte,2024-10-02,Ativo
821,Funcionário 821,27,Marketing,Manaus,683.190.130-11,2207374-5,Graduação,26,1997-01-12,Analista de Marketing,2022-10-15,Ativo
